word,row,col,page,identifier
mange,0,0,accueil,mange@accueil
elle,0,1,accueil,elle@accueil
manger,0,2,accueil,manger@accueil
sont,0,3,accueil,sont@accueil
en,0,4,accueil,en@accueil
glace,0,5,accueil,glace@accueil
morceau,0,6,accueil,morceau@accueil
trop,0,7,accueil,trop@accueil
gorille,0,8,accueil,gorille@accueil
du,1,0,accueil,du@accueil
fromage,1,1,accueil,fromage@accueil
eau,1,2,accueil,eau@accueil
savane,1,3,accueil,savane@accueil
les,1,4,accueil,les@accueil
chasse,1,5,accueil,chasse@accueil
etre,1,6,accueil,etre@accueil
dans,1,7,accueil,dans@accueil
des,1,8,accueil,des@accueil
poisson,2,0,accueil,poisson@accueil
douce,2,1,accueil,douce@accueil
de,2,2,accueil,de@accueil
bananes,2,3,accueil,bananes@accueil
une,2,4,accueil,une@accueil
girafe,2,5,accueil,girafe@accueil
chat,2,6,accueil,chat@accueil
vit,2,7,accueil,vit@accueil
banquise,2,8,accueil,banquise@accueil
comme,3,0,accueil,comme@accueil
singe,3,1,accueil,singe@accueil
gazelle,3,2,accueil,gazelle@accueil
peut,3,3,accueil,peut@accueil
pingouin,3,4,accueil,pingouin@accueil
souris,3,5,accueil,souris@accueil
a,3,6,accueil,a@accueil
aime,3,7,accueil,aime@accueil
domestique,3,8,accueil,domestique@accueil
veut,4,0,accueil,veut@accueil
intelligent,4,1,accueil,intelligent@accueil
nourrit,4,2,accueil,nourrit@accueil
dauphin,4,3,accueil,dauphin@accueil
le,4,4,accueil,le@accueil
long,4,5,accueil,long@accueil
cou,4,6,accueil,cou@accueil
rapide,4,7,accueil,rapide@accueil
animal,4,8,accueil,animal@accueil
petit,5,0,accueil,petit@accueil
lionne,5,1,accueil,lionne@accueil
glisser,5,2,accueil,glisser@accueil
loutre,5,3,accueil,loutre@accueil
et,5,4,accueil,et@accueil
avoir,5,5,accueil,avoir@accueil
froide,5,6,accueil,froide@accueil
faim,5,7,accueil,faim@accueil
peur,5,8,accueil,peur@accueil
joueuse,6,0,accueil,joueuse@accueil
pour,6,1,accueil,pour@accueil
froid,6,2,accueil,froid@accueil
mammifere,6,3,accueil,mammifere@accueil
la,6,4,accueil,la@accueil
marin,6,5,accueil,marin@accueil
est,6,6,accueil,est@accueil
quadripede,6,7,accueil,quadripede@accueil
rongeur,6,8,accueil,rongeur@accueil
mer,7,0,accueil,mer@accueil
terrestre,7,1,accueil,terrestre@accueil
feuilles,7,2,accueil,feuilles@accueil
sur,7,3,accueil,sur@accueil
se,7,4,accueil,se@accueil
un,7,5,accueil,un@accueil
