word,row,col,page,identifier,is_dir,link,sim_score,accueil,5,5
default0,4,1,accueil,default0@accueil,DIR,default0,0
default1,1,4,accueil,default1@accueil,DIR,default1,0
default2,2,2,accueil,default2@accueil,DIR,default2,0
default3,4,2,accueil,default3@accueil,DIR,default3,0
default4,2,0,accueil,default4@accueil,DIR,default4,0
default5,0,1,accueil,default5@accueil,DIR,default5,0
default6,1,0,accueil,default6@accueil,DIR,default6,0
default7,3,2,accueil,default7@accueil,DIR,default7,0
default8,0,3,accueil,default8@accueil,DIR,default8,0
default9,3,1,accueil,default9@accueil,DIR,default9,0
default10,4,4,accueil,default10@accueil,DIR,default10,0
default11,2,3,accueil,default11@accueil,DIR,default11,0
default12,0,4,accueil,default12@accueil,DIR,default12,0
default13,1,2,accueil,default13@accueil,DIR,default13,0
default14,3,4,accueil,default14@accueil,DIR,default14,0
default15,1,3,accueil,default15@accueil,DIR,default15,0
default16,0,0,accueil,default16@accueil,DIR,default16,0
default17,4,3,accueil,default17@accueil,DIR,default17,0
default18,3,0,accueil,default18@accueil,DIR,default18,0
default19,0,2,accueil,default19@accueil,DIR,default19,0
default20,1,1,accueil,default20@accueil,DIR,default20,0
default21,4,0,accueil,default21@accueil,DIR,default21,0
default22,3,3,accueil,default22@accueil,DIR,default22,0
default23,2,4,accueil,default23@accueil,DIR,default23,0
default24,2,1,accueil,default24@accueil,DIR,default24,0
default40,2,2,default0,default40@default0,DIR,default40,0
touer,2,4,default0,touer@default0,NO,,0.4194981295188175
cligner,1,4,default0,cligner@default0,NO,,0.42012878762237926
presser,1,2,default0,presser@default0,NO,,0.47555159547351644
verrer,3,1,default0,verrer@default0,NO,,0.4457321620958522
fermer,0,2,default0,fermer@default0,NO,,0.46342144327372214
danser,4,2,default0,danser@default0,NO,,0.4429701073751373
quer,4,4,default0,quer@default0,NO,,0.3787540947094673
réer,1,1,default0,réer@default0,NO,,0.35266157214636384
pourir,1,3,default0,pourir@default0,NO,,0.47739207203150813
reposer,3,4,default0,reposer@default0,NO,,0.4669049035479361
default52,4,1,default0,default52@default0,DIR,default52,0
grossir,0,0,default0,grossir@default0,NO,,0.45175050327617206
dorer,4,3,default0,dorer@default0,NO,,0.4298019508811386
battre,2,0,default0,battre@default0,NO,,0.48146498317961584
fondre,3,3,default0,fondre@default0,NO,,0.4855464214323578
pleurer,0,1,default0,pleurer@default0,NO,,0.4575325318914083
fouetter,0,3,default0,fouetter@default0,NO,,0.413429699882228
default55,1,0,default0,default55@default0,DIR,default55,0
couler,2,1,default0,couler@default0,NO,,0.4635804412545008
vieillir,0,4,default0,vieillir@default0,NO,,0.4303914918213535
agrandir,3,2,default0,agrandir@default0,NO,,0.3991745755668522
affiler,3,0,default0,affiler@default0,NO,,0.40133652042118495
pondre,4,0,default0,pondre@default0,NO,,0.40829384457846174
mélanger,2,3,default0,mélanger@default0,NO,,0.4568672287103631
default67,3,3,default1,default67@default1,DIR,default67,0
forain,4,3,default1,forain@default1,NO,,0.3580784421442057
réal,4,2,default1,réal@default1,NO,,0.29279975027946037
handicapé,2,4,default1,handicapé@default1,NO,,0.3170844830617192
milliardaire,1,4,default1,milliardaire@default1,NO,,0.3748247571603399
domino,4,0,default1,domino@default1,NO,,0.30922479531237523
mademoiselle,0,4,default1,mademoiselle@default1,NO,,0.34223174099793296
célèbre,2,3,default1,célèbre@default1,NO,,0.3480558926604651
star,3,4,default1,star@default1,NO,,0.39326356366422643
joue,1,2,default1,joue@default1,NO,,0.3321213241071971
femelle,0,3,default1,femelle@default1,NO,,0.3369136596839064
vedette,1,0,default1,vedette@default1,NO,,0.36529988791899914
roi,2,2,default1,roi@default1,NO,,0.3493658668209444
exorciste,3,0,default1,exorciste@default1,NO,,0.32724815566443
princesse,4,4,default1,princesse@default1,NO,,0.3848425493149965
zoo,1,1,default1,zoo@default1,NO,,0.3306225212797479
capucine,0,0,default1,capucine@default1,NO,,0.3092922212728939
default93,4,1,default1,default93@default1,DIR,default93,0
voltigeur,0,1,default1,voltigeur@default1,NO,,0.3070779247526154
fripouille,1,3,default1,fripouille@default1,NO,,0.34521728980226496
inde,3,1,default1,inde@default1,NO,,0.3002662617561639
blanche,2,1,default1,blanche@default1,NO,,0.3382230301474075
chine,2,0,default1,chine@default1,NO,,0.3362058497434941
laborantin,0,2,default1,laborantin@default1,NO,,0.31260075177972935
default79,3,2,default1,default79@default1,DIR,default79,0
default88,2,1,default2,default88@default2,DIR,default88,0
architecte,3,0,default2,architecte@default2,NO,,0.3452367233936393
plombier,0,4,default2,plombier@default2,NO,,0.31561416769560824
club,4,2,default2,club@default2,NO,,0.4139795994094102
internet,0,3,default2,internet@default2,NO,,0.3601746445901436
pilotage,1,0,default2,pilotage@default2,NO,,0.35802165871854197
