word,row,col,page,identifier
commission,0,0,accueil,commission@accueil
piscine,0,1,accueil,piscine@accueil
caméléon,0,2,accueil,caméléon@accueil
pull,0,3,accueil,pull@accueil
piquer,0,4,accueil,piquer@accueil
patin,0,5,accueil,patin@accueil
bailla,0,6,accueil,bailla@accueil
charmant,0,7,accueil,charmant@accueil
marrant,0,8,accueil,marrant@accueil
hamster,0,9,accueil,hamster@accueil
étoile,0,10,accueil,étoile@accueil
riz,0,11,accueil,riz@accueil
dame,0,12,accueil,dame@accueil
copine,0,13,accueil,copine@accueil
terrible,0,14,accueil,terrible@accueil
inverser,0,15,accueil,inverser@accueil
mince,0,16,accueil,mince@accueil
lunette,0,17,accueil,lunette@accueil
aide,0,18,accueil,aide@accueil
four,0,19,accueil,four@accueil
promesse,0,20,accueil,promesse@accueil
riche,0,21,accueil,riche@accueil
dragon,0,22,accueil,dragon@accueil
masque,0,23,accueil,masque@accueil
préparer,0,24,accueil,préparer@accueil
diffuser,0,25,accueil,diffuser@accueil
squelette,0,26,accueil,squelette@accueil
roue,0,27,accueil,roue@accueil
banc,0,28,accueil,banc@accueil
jouet,0,29,accueil,jouet@accueil
réaliser,0,30,accueil,réaliser@accueil
garage,0,31,accueil,garage@accueil
italien,0,32,accueil,italien@accueil
peuh,0,33,accueil,peuh@accueil
lécher,0,34,accueil,lécher@accueil
fièvre,0,35,accueil,fièvre@accueil
construire,0,36,accueil,construire@accueil
homard,0,37,accueil,homard@accueil
médicament,0,38,accueil,médicament@accueil
gourmand,0,39,accueil,gourmand@accueil
noyer,0,40,accueil,noyer@accueil
musique,0,41,accueil,musique@accueil
menotte,0,42,accueil,menotte@accueil
période,1,0,accueil,période@accueil
sol,1,1,accueil,sol@accueil
sûrement,1,2,accueil,sûrement@accueil
montre,1,3,accueil,montre@accueil
plage,1,4,accueil,plage@accueil
orage,1,5,accueil,orage@accueil
fou,1,6,accueil,fou@accueil
prêt,1,7,accueil,prêt@accueil
gêne,1,8,accueil,gêne@accueil
blé,1,9,accueil,blé@accueil
dégouliner,1,10,accueil,dégouliner@accueil
canard,1,11,accueil,canard@accueil
fatiguer,1,12,accueil,fatiguer@accueil
ravissement,1,13,accueil,ravissement@accueil
septs,1,14,accueil,septs@accueil
mouchoir,1,15,accueil,mouchoir@accueil
plier,1,16,accueil,plier@accueil
roulette,1,17,accueil,roulette@accueil
présentation,1,18,accueil,présentation@accueil
précieux,1,19,accueil,précieux@accueil
essuyer,1,20,accueil,essuyer@accueil
parent,1,21,accueil,parent@accueil
forcément,1,22,accueil,forcément@accueil
herbe,1,23,accueil,herbe@accueil
caillou,1,24,accueil,caillou@accueil
attaquer,1,25,accueil,attaquer@accueil
seau,1,26,accueil,seau@accueil
pique,1,27,accueil,pique@accueil
basculer,1,28,accueil,basculer@accueil
inquiéter,1,29,accueil,inquiéter@accueil
rater,1,30,accueil,rater@accueil
claude,1,31,accueil,claude@accueil
rapport,1,32,accueil,rapport@accueil
malheureux,1,33,accueil,malheureux@accueil
n,1,34,accueil,n@accueil
antenne,1,35,accueil,antenne@accueil
court,1,36,accueil,court@accueil
fondre,1,37,accueil,fondre@accueil
arma,1,38,accueil,arma@accueil
tyrannosaure,1,39,accueil,tyrannosaure@accueil
tombe,1,40,accueil,tombe@accueil
jaune,1,41,accueil,jaune@accueil
accompagner,1,42,accueil,accompagner@accueil
ouin,2,0,accueil,ouin@accueil
travailler,2,1,accueil,travailler@accueil
casier,2,2,accueil,casier@accueil
gaulois,2,3,accueil,gaulois@accueil
dommage,2,4,accueil,dommage@accueil
flot,2,5,accueil,flot@accueil
quartier,2,6,accueil,quartier@accueil
râler,2,7,accueil,râler@accueil
réveil,2,8,accueil,réveil@accueil
tasse,2,9,accueil,tasse@accueil
dorer,2,10,accueil,dorer@accueil
enfermer,2,11,accueil,enfermer@accueil
jeune,2,12,accueil,jeune@accueil
seguin,2,13,accueil,seguin@accueil
impeccable,2,14,accueil,impeccable@accueil
sombre,2,15,accueil,sombre@accueil
entier,2,16,accueil,entier@accueil
crèmerie,2,17,accueil,crèmerie@accueil
rigoler,2,18,accueil,rigoler@accueil
abîmer,2,19,accueil,abîmer@accueil
moïse,2,20,accueil,moïse@accueil
bite,2,21,accueil,bite@accueil
cage,2,22,accueil,cage@accueil
sucre,2,23,accueil,sucre@accueil
coccinelle,2,24,accueil,coccinelle@accueil
licorne,2,25,accueil,licorne@accueil
recouvrir,2,26,accueil,recouvrir@accueil
pressé,2,27,accueil,pressé@accueil
griffure,2,28,accueil,griffure@accueil
