word,row,col,page,identifier,is_dir,link,sim_score,Accueil,3,5
9A - PERSONNES,0,0,Accueil,moi@Accueil,DIR,9A - PERSONNES,0
11A - ACTIVITÉS,1,0,Accueil,fruits@Accueil,DIR,11A - ACTIVITÉS,0
14A - SANTÉ,2,0,Accueil,lieux@Accueil,DIR,14A - SANTÉ,0
20A - PERSONNAGES,3,0,Accueil,non@Accueil,DIR,20A - PERSONNAGES,0
1A - PRINCIPAL,4,0,Accueil,vous@Accueil,DIR,1A - PRINCIPAL,0
10A - ACTIONS,0,1,Accueil,actions@Accueil,DIR,10A - ACTIONS,0
13A - ÉVÉNEMENTS PARTICULIERS,1,1,Accueil,événements particuliers@Accueil,DIR,13A - ÉVÉNEMENTS PARTICULIERS,0
21A - ANIMAUX,2,1,Accueil,animaux@Accueil,DIR,21A - ANIMAUX,0
22A - JOURS ET HEURE,3,1,Accueil,jour / heure@Accueil,DIR,22A - JOURS ET HEURE,0
oups,4,1,Accueil,oups@Accueil,NO,,0
24A - DESCRIPTIONS,0,2,Accueil,descriptions@Accueil,DIR,24A - DESCRIPTIONS,0
12A - LIEUX,1,2,Accueil,lieux0@Accueil,DIR,12A - LIEUX,0
19A - TRANSPORTS,2,2,Accueil,transports@Accueil,DIR,19A - TRANSPORTS,0
7B-CATÉGORIES,3,2,Accueil,tourner la page@Accueil,DIR,7B-CATÉGORIES,0
ceci n'est pas dans le podd,4,2,Accueil,ceci n'est pas dans le podd@Accueil,NO,,0
"je, moi, [prénom]",0,0,9A - PERSONNES,"je, moi, [prénom]@9A - PERSONNES",NO,,0
[ajouter les prénoms de la famille],1,0,9A - PERSONNES,[ajouter les prénoms de la famille]@9A - PERSONNES,NO,,0
 ,2,0,9A - PERSONNES, 6@9A - PERSONNES,NO,,0
9D - AMIS,3,0,9A - PERSONNES,ami@9A - PERSONNES,DIR,9D - AMIS,0
maman,0,1,9A - PERSONNES,maman@9A - PERSONNES,NO,,0
 ,1,1,9A - PERSONNES, 7@9A - PERSONNES,NO,,0
 ,2,1,9A - PERSONNES, 8@9A - PERSONNES,NO,,0
9E - GENS,3,1,9A - PERSONNES,mots pour les personnes@9A - PERSONNES,DIR,9E - GENS,0
oups,4,1,9A - PERSONNES,oups17@9A - PERSONNES,NO,,0
papa,0,2,9A - PERSONNES,papa@9A - PERSONNES,NO,,0
 ,1,2,9A - PERSONNES, 9@9A - PERSONNES,NO,,0
9C - FAMILLE,2,2,9A - PERSONNES, 10@9A - PERSONNES,DIR,9C - FAMILLE,0
9B - PERSONNES,3,2,9A - PERSONNES,tourner la page7@9A - PERSONNES,DIR,9B - PERSONNES,0
#HOME,4,2,9A - PERSONNES,aller aux catégories13@9A - PERSONNES,DIR,#HOME,0
ne... pas/plus,0,0,11A - ACTIVITÉS,ne... pas/plus6@11A - ACTIVITÉS,NO,,0
(faire) câlin,1,0,11A - ACTIVITÉS,(faire) câlin@11A - ACTIVITÉS,NO,,0
18 - NOURRITURE ET BOISSON,2,0,11A - ACTIVITÉS,quelque chose à boire ou à manger@11A - ACTIVITÉS,DIR,18 - NOURRITURE ET BOISSON,0
11D - FABRIQUER,3,0,11A - ACTIVITÉS,fabriquer quelque chose@11A - ACTIVITÉS,DIR,11D - FABRIQUER,0
vouloir,0,1,11A - ACTIVITÉS,vouloir0@11A - ACTIVITÉS,NO,,0
se reposer,1,1,11A - ACTIVITÉS,se reposer@11A - ACTIVITÉS,NO,,0
11C - JOUETS,2,1,11A - ACTIVITÉS,jouets@11A - ACTIVITÉS,DIR,11C - JOUETS,0
11E - ACTIVITÉS EXTÉRIEURES,3,1,11A - ACTIVITÉS,activités extérieures@11A - ACTIVITÉS,DIR,11E - ACTIVITÉS EXTÉRIEURES,0
oups,4,1,11A - ACTIVITÉS,oups27@11A - ACTIVITÉS,NO,,0
jouer,0,2,11A - ACTIVITÉS,jouer0@11A - ACTIVITÉS,NO,,0
27 - TV,1,2,11A - ACTIVITÉS,regarder la TV@11A - ACTIVITÉS,DIR,27 - TV,0
